اقلا اقلاً
اقلن اقلاً
قبلا قبلاً
قبلن قبلاً
مخصوصا مخصوصاً
مخصوصن مخصوصاً
شرعا شرعاً
شرعن شرعاً
حقیقتا حقیقتاً
حقیقتن حقیقتاً
رسما رسماً
رسمن رسماً
احتمالا احتمالاً
احتمالن احتمالاً
قاعدتا قاعدتاً
قاعدتن قاعدتاً
خصوصا خصوصاً
خصوصن خصوصاً
نسبتا نسبتاً
نسبتن نسبتاً
اجبارا اجباراً
اجبارن اجباراً
حدودا حدوداً
حدودن حدوداً
ظاهرا ظاهراً
ظاهرن ظاهراً
معمولا معمولاً
معمولن معمولاً
لزوما لزوماً
لزومن لزوماً
اصلا اصلاً
اصلن اصلاً
مجددا مجدداً
مجددن مجدداً
صریحا صریحاً
صریحن صریحاً
صراحتا صراحتاً
صراحتن صراحتاً
اومد آمد
جون جان
جونور جانور
اسلا اصلاً
اسلن اصلاً
پشیمون پشیمان
پردازی پردازی
چسپ چسب
وقط وقت
گرگینه گرگینه
آرومی آرام
آسمون آسمان
آسون آسان
آسون‌تر آسان‌تر
ابی آبی
اخر آخر
ادمیزاد آدمیزاد
ارزون ارزان
اصن اصلاً
افتاب آفتاب
امار آمار
انقد آنقدر
انقدری آنقدری
اومده‌ آمده
اونقد آنقدر
اونقدری آنقدر
ایشالا انشاالله
اینه آینه
بارون باران
بارونی بارانی
باقی‌مونده باقی‌مانده
بولیزشلواری بولوزشلواری
بچا بچه‌ها
بی‌صاحاب بی‌صاحب
تابستون تابستان
تابستونی تابستان
تابستونی تابستانی
تلوزیوون تلویزیون
تهرونی تهرانی
تو داخل
تو در
تومن تومان
تومنی تومانی
توی داخل
تکون تکان
جزو جزء
حموم حمام
خان خوان
خانوما ‌خانم‌ها
خب خوب
خوابالو خواب‌آلود
خوندنی خواندنی
خونه‌ خانه
خیابون خیابان
داغون داغان
دخترونه دخترانه
درست‌درمون درست‌درمان
درمون درمان
دونه دانه
دونه‌ای دانه‌ای
دووم دوام
رمضون رمضان
رو را 
زبون زبان
زمستون زمستان
شونزده شانزده
شونصد ششصد
شونه شانه
عاخه آخر
عقب‌مونده عقب‌مانده
قایل قائل
قربون قربان
قلبن قلباً
ماکروفر مایکروفر
مهربون مهربان
مهربونی مهربانی
مهمون ‌مهمان
مهمونا ‌مهمان‌ها
مهمونی مهمانی
میدون میدان
میون میان
نشونه نشانه
نشونی نشانی
نون نان
نون نان‌
نگه نگاه
هیش هیچ
واقعن واقعا
والا والله
وقتایی وقت‌هایی
پسرونه پسرانه
پوووول پول
چشا ‌چشم‌ها
چقددد چقدر
چمدون چمدان
چونه چانه
چی چه
کارخونه کارخانه
کتابخون کتابخوان
کتابخونه کتابخانه
کتابخونه‌ کتابخانه
کتاب‌خونی کتاب‌خوانی
کوجیک کوچک
گرون گران
گشنه گرسنه
گلدون گلدان
گمون گمان
ینی یعنی
یهو یکهو
یهویی یکهو
یه‌ یک
یه‌بار یک‌بار
یه‌نواخت یکنواخت
یوتوب یوتیوب
‌رو را
دندون دندان
شیطون شیطان
آقایون آقایان
روندن راندن
